            x(i)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)
     0.00000E+00    0.11902E-02    0.16429E-02    0.22679E-02    0.31305E-02    0.43213E-02    0.59651E-02    0.82341E-02    0.11366E-01    0.15690E-01    0.21658E-01    0.29896E-01    0.41268E-01    0.56966E-01    0.78635E-01    0.10855E+00    0.14984E+00    0.20683E+00    0.28551E+00    0.39411E+00    0.54402E+00    0.75096E+00    0.10366E+01    0.14309E+01    0.19752E+01    0.27266E+01    0.37637E+01    0.51954E+01    0.71716E+01    0.98996E+01    0.13665E+02    0.18863E+02    0.26039E+02    0.35943E+02    0.49615E+02    0.68488E+02    0.94540E+02    0.13050E+03    0.18014E+03    0.24867E+03    0.34326E+03    0.47382E+03    0.65406E+03    0.90285E+03    0.12463E+04    0.17204E+04    0.23747E+04    0.32781E+04    0.45250E+04    0.62462E+04    0.86222E+04
     0.11902E-02    0.18268E-05    0.18260E-05    0.18249E-05    0.18233E-05    0.18211E-05    0.18181E-05    0.18140E-05    0.18083E-05    0.18005E-05    0.17898E-05    0.17751E-05    0.17551E-05    0.17278E-05    0.16907E-05    0.16410E-05    0.15747E-05    0.14875E-05    0.13752E-05    0.12341E-05    0.10629E-05    0.86521E-06    0.65164E-06    0.44112E-06    0.25799E-06    0.12354E-06    0.45064E-07    0.11370E-07    0.17475E-08    0.13878E-09    0.46025E-11    0.47828E-13    0.10212E-15    0.23665E-19    0.24004E-24    0.31121E-31    0.97013E-41    0.10001E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.16429E-02    0.25194E-05    0.25183E-05    0.25167E-05    0.25146E-05    0.25116E-05    0.25074E-05    0.25018E-05    0.24939E-05    0.24832E-05    0.24684E-05    0.24482E-05    0.24205E-05    0.23828E-05    0.23317E-05    0.22631E-05    0.21716E-05    0.20515E-05    0.18966E-05    0.17020E-05    0.14659E-05    0.11932E-05    0.89869E-06    0.60836E-06    0.35580E-06    0.17038E-06    0.62149E-07    0.15680E-07    0.24100E-08    0.19140E-09    0.63475E-11    0.65960E-13    0.14084E-15    0.32638E-19    0.33105E-24    0.42920E-31    0.13379E-40    0.10001E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.22679E-02    0.34734E-05    0.34718E-05    0.34697E-05    0.34667E-05    0.34626E-05    0.34569E-05    0.34490E-05    0.34382E-05    0.34234E-05    0.34030E-05    0.33751E-05    0.33370E-05    0.32850E-05    0.32147E-05    0.31200E-05    0.29939E-05    0.28283E-05    0.26147E-05    0.23464E-05    0.20209E-05    0.16450E-05    0.12390E-05    0.83872E-06    0.49052E-06    0.23490E-06    0.85682E-07    0.21617E-07    0.33226E-08    0.26388E-09    0.87511E-11    0.90941E-13    0.19420E-15    0.45039E-19    0.46302E-24    0.10423E-30    0.40149E-38    0.87076E-48    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.31305E-02    0.47863E-05    0.47841E-05    0.47812E-05    0.47770E-05    0.47713E-05    0.47635E-05    0.47527E-05    0.47379E-05    0.47174E-05    0.46893E-05    0.46509E-05    0.45983E-05    0.45267E-05    0.44297E-05    0.42993E-05    0.41256E-05    0.38974E-05    0.36031E-05    0.32333E-05    0.27848E-05    0.22669E-05    0.17073E-05    0.11557E-05    0.67593E-06    0.32369E-06    0.11807E-06    0.29789E-07    0.45786E-08    0.36363E-09    0.12060E-10    0.12533E-12    0.26772E-15    0.62232E-19    0.66363E-24    0.31825E-30    0.23246E-37    0.15025E-45    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.43213E-02    0.65911E-05    0.65881E-05    0.65840E-05    0.65783E-05    0.65705E-05    0.65597E-05    0.65448E-05    0.65244E-05    0.64962E-05    0.64576E-05    0.64046E-05    0.63322E-05    0.62336E-05    0.61001E-05    0.59205E-05    0.56812E-05    0.53670E-05    0.49617E-05    0.44525E-05    0.38349E-05    0.31216E-05    0.23511E-05    0.15916E-05    0.93082E-06    0.44575E-06    0.16259E-06    0.41023E-07    0.63054E-08    0.50078E-09    0.16609E-10    0.17265E-12    0.36904E-15    0.86223E-19    0.99387E-24    0.99180E-30    0.12885E-36    0.38227E-44    0.10025E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.59651E-02    0.90681E-05    0.90640E-05    0.90584E-05    0.90506E-05    0.90398E-05    0.90249E-05    0.90045E-05    0.89763E-05    0.89376E-05    0.88844E-05    0.88116E-05    0.87120E-05    0.85763E-05    0.83926E-05    0.81455E-05    0.78164E-05    0.73840E-05    0.68264E-05    0.61258E-05    0.52762E-05    0.42948E-05    0.32347E-05    0.21897E-05    0.12807E-05    0.61329E-06    0.22371E-06    0.56443E-07    0.86758E-08    0.68908E-09    0.22857E-10    0.23767E-12    0.50872E-15    0.12000E-18    0.15763E-23    0.28622E-29    0.70532E-36    0.48936E-43    0.11157E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.82341E-02    0.12460E-04    0.12455E-04    0.12447E-04    0.12436E-04    0.12421E-04    0.12401E-04    0.12373E-04    0.12334E-04    0.12281E-04    0.12208E-04    0.12108E-04    0.11971E-04    0.11785E-04    0.11532E-04    0.11193E-04    0.10740E-04    0.10146E-04    0.93802E-05    0.84175E-05    0.72500E-05    0.59016E-05    0.44449E-05    0.30090E-05    0.17598E-05    0.84277E-06    0.30742E-06    0.77567E-07    0.11923E-07    0.94713E-09    0.31424E-10    0.32695E-12    0.70160E-15    0.16849E-18    0.27187E-23    0.81618E-29    0.38320E-35    0.53453E-42    0.39251E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.11366E-01    0.17092E-04    0.17084E-04    0.17073E-04    0.17059E-04    0.17038E-04    0.17010E-04    0.16972E-04    0.16919E-04    0.16846E-04    0.16746E-04    0.16608E-04    0.16420E-04    0.16165E-04    0.15819E-04    0.15353E-04    0.14733E-04    0.13918E-04    0.12867E-04    0.11546E-04    0.99451E-05    0.80954E-05    0.60973E-05    0.41277E-05    0.24142E-05    0.11562E-05    0.42176E-06    0.10642E-06    0.16361E-07    0.12999E-08    0.43145E-10    0.44944E-12    0.96913E-15    0.24057E-18    0.51894E-23    0.23716E-28    0.20653E-34    0.55589E-41    0.62493E-48    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.15690E-01    0.23388E-04    0.23378E-04    0.23363E-04    0.23343E-04    0.23315E-04    0.23277E-04    0.23224E-04    0.23152E-04    0.23052E-04    0.22915E-04    0.22727E-04    0.22470E-04    0.22120E-04    0.21646E-04    0.21009E-04    0.20160E-04    0.19045E-04    0.17607E-04    0.15801E-04    0.13610E-04    0.11079E-04    0.83443E-05    0.56490E-05    0.33041E-05    0.15825E-05    0.57732E-06    0.14570E-06    0.22403E-07    0.17806E-08    0.59148E-10    0.61754E-12    0.13438E-14    0.35392E-18    0.10976E-22    0.72393E-28    0.11251E-33    0.57016E-40    0.12185E-46    0.10001E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
