            time          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag
     0.00000E+00    0.47437E-02    0.65392E-02    0.90096E-02    0.12404E-01    0.17061E-01    0.23435E-01    0.32128E-01    0.43932E-01    0.59858E-01    0.81153E-01    0.10927E+00    0.14575E+00    0.19190E+00    0.24814E+00    0.31301E+00    0.38155E+00    0.44367E+00    0.48343E+00    0.48163E+00    0.42420E+00    0.31542E+00    0.18590E+00    0.79719E-01    0.22151E-01    0.34146E-02    0.23773E-03    0.57145E-05    0.33500E-07    0.30194E-10    0.21752E-14    0.47876E-20    0.81031E-28    0.15306E-38    0.10002E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.50000E+01    0.38769E-03    0.53443E-03    0.73633E-03    0.10138E-02    0.13944E-02    0.19153E-02    0.26258E-02    0.35905E-02    0.48920E-02    0.66324E-02    0.89307E-02    0.11913E-01    0.15685E-01    0.20286E-01    0.25600E-01    0.31242E-01    0.36438E-01    0.40012E-01    0.40658E-01    0.37620E-01    0.31483E-01    0.24155E-01    0.17507E-01    0.12146E-01    0.78907E-02    0.46415E-02    0.23846E-02    0.10231E-02    0.34602E-03    0.85775E-04    0.14234E-04    0.14172E-05    0.74526E-07    0.18001E-08    0.17429E-10    0.61485E-13    0.79397E-16    0.42081E-19    0.10174E-22    0.11604E-26    0.62577E-31    0.15865E-35    0.18964E-40    0.10761E-45    0.10284E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.10000E+02    0.13195E-03    0.18189E-03    0.25061E-03    0.34503E-03    0.47457E-03    0.65185E-03    0.89366E-03    0.12220E-02    0.16650E-02    0.22573E-02    0.30395E-02    0.40544E-02    0.53383E-02    0.69044E-02    0.87138E-02    0.10636E-01    0.12411E-01    0.13646E-01    0.13912E-01    0.12974E-01    0.11054E-01    0.87866E-02    0.67498E-02    0.50804E-02    0.36836E-02    0.25163E-02    0.15846E-02    0.89505E-03    0.43770E-03    0.17699E-03    0.55790E-04    0.12720E-04    0.19113E-05    0.16918E-06    0.77489E-08    0.15964E-09    0.12972E-11    0.38380E-14    0.42640E-17    0.20181E-20    0.44629E-24    0.47268E-28    0.24121E-32    0.59567E-37    0.71294E-42    0.41763E-47    0.10012E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.15000E+02    0.65748E-04    0.90634E-04    0.12487E-03    0.17193E-03    0.23647E-03    0.32481E-03    0.44530E-03    0.60891E-03    0.82964E-03    0.11248E-02    0.15146E-02    0.20203E-02    0.26600E-02    0.34404E-02    0.43422E-02    0.53006E-02    0.61866E-02    0.68057E-02    0.69474E-02    0.65002E-02    0.55780E-02    0.44969E-02    0.35335E-02    0.27445E-02    0.20763E-02    0.15035E-02    0.10253E-02    0.64558E-03    0.36574E-03    0.18028E-03    0.74019E-04    0.23925E-04    0.56654E-05    0.89819E-06    0.85452E-07    0.42945E-08    0.99190E-10    0.92073E-12    0.31344E-14    0.39504E-17    0.20679E-20    0.49774E-24    0.56781E-28    0.30828E-32    0.79835E-37    0.98916E-42    0.58930E-47    0.10017E-49    0.10000E-49    0.10000E-49
     0.20000E+02    0.39261E-04    0.54121E-04    0.74567E-04    0.10266E-03    0.14121E-03    0.19395E-03    0.26591E-03    0.36360E-03    0.49541E-03    0.67165E-03    0.90440E-03    0.12064E-02    0.15884E-02    0.20544E-02    0.25929E-02    0.31654E-02    0.36949E-02    0.40658E-02    0.41535E-02    0.38929E-02    0.33538E-02    0.27242E-02    0.21665E-02    0.17110E-02    0.13241E-02    0.98899E-03    0.70381E-03    0.46973E-03    0.28808E-03    0.15811E-03    0.75013E-04    0.29409E-04    0.89865E-05    0.19864E-05    0.28933E-06    0.24811E-07    0.10995E-08    0.21891E-10    0.17190E-12    0.49234E-15    0.52964E-18    0.24079E-21    0.50357E-25    0.49498E-29    0.22900E-33    0.49836E-38    0.51130E-43    0.25822E-48    0.10001E-49    0.10000E-49
     0.25000E+02    0.26068E-04    0.35934E-04    0.49509E-04    0.68164E-04    0.93756E-04    0.12878E-03    0.17655E-03    0.24142E-03    0.32893E-03    0.44595E-03    0.60049E-03    0.80098E-03    0.10546E-02    0.13641E-02    0.17216E-02    0.21018E-02    0.24535E-02    0.27004E-02    0.27598E-02    0.25895E-02    0.22364E-02    0.18251E-02    0.14624E-02    0.11670E-02    0.91582E-03    0.69737E-03    0.50961E-03    0.35271E-03    0.22731E-03    0.13346E-03    0.69372E-04    0.30745E-04    0.11062E-04    0.30319E-05    0.58394E-06    0.71507E-07    0.49410E-08    0.16831E-09    0.24578E-11    0.13678E-13    0.27755E-16    0.22068E-19    0.77421E-23    0.12698E-26    0.98592E-31    0.36015E-35    0.61485E-40    0.49229E-45    0.11851E-49    0.10000E-49
     0.30000E+02    0.18560E-04    0.25585E-04    0.35250E-04    0.48533E-04    0.66754E-04    0.91690E-04    0.12570E-03    0.17189E-03    0.23420E-03    0.31752E-03    0.42754E-03    0.57030E-03    0.75090E-03    0.97121E-03    0.12258E-02    0.14965E-02    0.17470E-02    0.19230E-02    0.19660E-02    0.18461E-02    0.15970E-02    0.13075E-02    0.10530E-02    0.84621E-03    0.67047E-03    0.51729E-03    0.38492E-03    0.27310E-03    0.18209E-03    0.11198E-03    0.61982E-04    0.29902E-04    0.12053E-04    0.38408E-05    0.90125E-06    0.14239E-06    0.13580E-07    0.68822E-09    0.16126E-10    0.15273E-12    0.53252E-15    0.68519E-18    0.36109E-21    0.85903E-25    0.95121E-29    0.49149E-33    0.11910E-37    0.13559E-42    0.72849E-48    0.10002E-49
     0.35000E+02    0.13884E-04    0.19139E-04    0.26369E-04    0.36305E-04    0.49935E-04    0.68588E-04    0.94032E-04    0.12858E-03    0.17519E-03    0.23752E-03    0.31982E-03    0.42661E-03    0.56171E-03    0.72651E-03    0.91697E-03    0.11195E-02    0.13069E-02    0.14387E-02    0.14712E-02    0.13822E-02    0.11972E-02    0.98248E-03    0.79416E-03    0.64145E-03    0.51177E-03    0.39864E-03    0.30055E-03    0.21713E-03    0.14839E-03    0.94391E-04    0.54702E-04    0.28082E-04    0.12306E-04    0.43843E-05    0.11918E-05    0.22800E-06    0.27770E-07    0.19107E-08    0.64874E-10    0.94519E-12    0.52519E-14    0.10632E-16    0.84042E-20    0.29172E-23    0.46858E-27    0.34898E-31    0.12055E-35    0.19350E-40    0.14419E-45    0.10501E-49
     0.40000E+02    0.10775E-04    0.14853E-04    0.20465E-04    0.28175E-04    0.38754E-04    0.53230E-04    0.72977E-04    0.99789E-04    0.13596E-03    0.18433E-03    0.24821E-03    0.33108E-03    0.43593E-03    0.56384E-03    0.71165E-03    0.86883E-03    0.10143E-02    0.11167E-02    0.11421E-02    0.10735E-02    0.93064E-03    0.76511E-03    0.62019E-03    0.50288E-03    0.40333E-03    0.31646E-03    0.24098E-03    0.17650E-03    0.12291E-03    0.80219E-04    0.48146E-04    0.25920E-04    0.12111E-04    0.47016E-05    0.14321E-05    0.31801E-06    0.46934E-07    0.41158E-08    0.18835E-09    0.39101E-11    0.32290E-13    0.97689E-16    0.11072E-18    0.52702E-22    0.11467E-25    0.11650E-29    0.55265E-34    0.12094E-38    0.12200E-43    0.66627E-49
     0.45000E+02    0.86040E-05    0.11861E-04    0.16341E-04    0.22499E-04    0.30946E-04    0.42506E-04    0.58274E-04    0.79684E-04    0.10857E-03    0.14719E-03    0.19820E-03    0.26438E-03    0.34810E-03    0.45024E-03    0.56828E-03    0.69379E-03    0.81001E-03    0.89180E-03    0.91221E-03    0.85769E-03    0.74411E-03    0.61261E-03    0.49767E-03    0.40477E-03    0.32599E-03    0.25724E-03    0.19743E-03    0.14616E-03    0.10330E-03    0.68798E-04    0.42447E-04    0.23725E-04    0.11663E-04    0.48468E-05    0.16166E-05    0.40450E-06    0.69698E-07    0.74444E-08    0.43537E-09    0.12146E-10    0.14082E-12    0.61051E-15    0.97225E-18    0.62551E-21    0.18108E-24    0.24479E-28    0.15456E-32    0.45549E-37    0.62806E-42    0.39949E-47
     0.50000E+02    0.70289E-05    0.96893E-05    0.13350E-04    0.18380E-04    0.25280E-04    0.34724E-04    0.47605E-04    0.65096E-04    0.88693E-04    0.12025E-03    0.16192E-03    0.21598E-03    0.28438E-03    0.36781E-03    0.46424E-03    0.56679E-03    0.66174E-03    0.72859E-03    0.74535E-03    0.70099E-03    0.60852E-03    0.50155E-03    0.40817E-03    0.33279E-03    0.26892E-03    0.21317E-03    0.16465E-03    0.12296E-03    0.87944E-04    0.59533E-04    0.37559E-04    0.21641E-04    0.11085E-04    0.48692E-05    0.17488E-05    0.48255E-06    0.94460E-07    0.11881E-07    0.85309E-09    0.30563E-10    0.47484E-12    0.28350E-14    0.61795E-17    0.52511E-20    0.19639E-23    0.34335E-27    0.28282E-31    0.10964E-35    0.19934E-40    0.16772E-45
     0.55000E+02    0.58503E-05    0.80646E-05    0.11111E-04    0.15298E-04    0.21041E-04    0.28902E-04    0.39623E-04    0.54181E-04    0.73821E-04    0.10008E-03    0.13477E-03    0.17976E-03    0.23669E-03    0.30614E-03    0.38640E-03    0.47175E-03    0.55079E-03    0.60646E-03    0.62046E-03    0.58366E-03    0.50691E-03    0.41819E-03    0.34082E-03    0.27843E-03    0.22560E-03    0.17951E-03    0.13937E-03    0.10483E-03    0.75719E-04    0.51953E-04    0.33385E-04    0.19725E-04    0.10453E-04    0.48076E-05    0.18363E-05    0.54978E-06    0.11976E-06    0.17290E-07    0.14775E-08    0.65590E-10    0.13144E-11    0.10437E-13    0.30390E-16    0.33526E-19    0.15821E-22    0.34737E-26    0.36121E-30    0.17815E-34    0.41602E-39    0.45520E-44
     0.60000E+02    0.49452E-05    0.68169E-05    0.93922E-05    0.12931E-04    0.17786E-04    0.24430E-04    0.33493E-04    0.45798E-04    0.62400E-04    0.84600E-04    0.11392E-03    0.15195E-03    0.20007E-03    0.25878E-03    0.32662E-03    0.39877E-03    0.46558E-03    0.51265E-03    0.52453E-03    0.49351E-03    0.42878E-03    0.35400E-03    0.28886E-03    0.23638E-03    0.19196E-03    0.15323E-03    0.11948E-03    0.90409E-04    0.65845E-04    0.45691E-04    0.29818E-04    0.17992E-04    0.98119E-05    0.46908E-05    0.18873E-05    0.60550E-06    0.14445E-06    0.23460E-07    0.23285E-08    0.12446E-09    0.31176E-11    0.31938E-13    0.12144E-15    0.17150E-18    0.10041E-21    0.27050E-25    0.34593E-29    0.21103E-33    0.61351E-38    0.84300E-43
     0.65000E+02    0.42345E-05    0.58372E-05    0.80425E-05    0.11073E-04    0.15230E-04    0.20919E-04    0.28680E-04    0.39216E-04    0.53432E-04    0.72442E-04    0.97545E-04    0.13011E-03    0.17132E-03    0.22159E-03    0.27968E-03    0.34146E-03    0.39868E-03    0.43900E-03    0.44920E-03    0.42270E-03    0.36739E-03    0.30352E-03    0.24792E-03    0.20317E-03    0.16532E-03    0.13231E-03    0.10356E-03    0.78759E-04    0.57763E-04    0.40469E-04    0.26760E-04    0.16439E-04    0.91867E-05    0.45396E-05    0.19095E-05    0.65006E-06    0.16770E-06    0.30155E-07    0.34086E-08    0.21434E-09    0.65380E-11    0.84169E-13    0.40915E-15    0.73029E-18    0.52402E-21    0.17020E-24    0.26230E-28    0.19334E-32    0.68236E-37    0.11427E-41
     0.70000E+02    0.36665E-05    0.50543E-05    0.69637E-05    0.95876E-05    0.13187E-04    0.18113E-04    0.24833E-04    0.33956E-04    0.46266E-04    0.62725E-04    0.84461E-04    0.11266E-03    0.14834E-03    0.19187E-03    0.24217E-03    0.29566E-03    0.34521E-03    0.38013E-03    0.38899E-03    0.36609E-03    0.31828E-03    0.26310E-03    0.21511E-03    0.17650E-03    0.14386E-03    0.11540E-03    0.90611E-04    0.69215E-04    0.51069E-04    0.36077E-04    0.24127E-04    0.15053E-04    0.85912E-05    0.43683E-05    0.19096E-05    0.68442E-06    0.18901E-06    0.37143E-07    0.47058E-08    0.34151E-09    0.12412E-10    0.19627E-12    0.11960E-14    0.26656E-17    0.23232E-20    0.89804E-24    0.16416E-27    0.14375E-31    0.60419E-36    0.12091E-40
     0.75000E+02    0.32057E-05    0.44191E-05    0.60886E-05    0.83827E-05    0.11530E-04    0.15837E-04    0.21712E-04    0.29689E-04    0.40451E-04    0.54842E-04    0.73847E-04    0.98503E-04    0.12970E-03    0.16775E-03    0.21173E-03    0.25851E-03    0.30183E-03    0.33237E-03    0.34013E-03    0.32014E-03    0.27841E-03    0.23026E-03    0.18840E-03    0.15475E-03    0.12632E-03    0.10154E-03    0.79943E-04    0.61299E-04    0.45466E-04    0.32351E-04    0.21850E-04    0.13817E-04    0.80319E-05    0.41870E-05    0.18930E-05    0.70974E-06    0.20807E-06    0.44218E-07    0.61966E-08    0.51081E-09    0.21715E-10    0.41358E-12    0.31027E-14    0.85320E-17    0.89665E-20    0.40835E-23    0.87416E-27    0.89671E-31    0.44221E-35    0.10400E-39
     0.80000E+02    0.28268E-05    0.38968E-05    0.53689E-05    0.73919E-05    0.10167E-04    0.13965E-04    0.19146E-04    0.26180E-04    0.35670E-04    0.48360E-04    0.65118E-04    0.86861E-04    0.11437E-03    0.14793E-03    0.18671E-03    0.22795E-03    0.26616E-03    0.29309E-03    0.29995E-03    0.28235E-03    0.24560E-03    0.20321E-03    0.16638E-03    0.13679E-03    0.11180E-03    0.90024E-04    0.71051E-04    0.54664E-04    0.40732E-04    0.29165E-04    0.19870E-04    0.12715E-04    0.75114E-05    0.40026E-05    0.18641E-05    0.72727E-06    0.22479E-06    0.51207E-07    0.78506E-08    0.72527E-09    0.35503E-10    0.80059E-12    0.72748E-14    0.24395E-16    0.30710E-19    0.16350E-22    0.40561E-26    0.48186E-30    0.27551E-34    0.75110E-39
     0.85000E+02    0.25112E-05    0.34617E-05    0.47695E-05    0.65666E-05    0.90319E-05    0.12406E-04    0.17008E-04    0.23257E-04    0.31687E-04    0.42961E-04    0.57848E-04    0.77163E-04    0.10160E-03    0.13141E-03    0.16586E-03    0.20250E-03    0.23644E-03    0.26037E-03    0.26647E-03    0.25087E-03    0.21826E-03    0.18066E-03    0.14800E-03    0.12178E-03    0.99646E-04    0.80363E-04    0.63563E-04    0.49047E-04    0.36696E-04    0.26423E-04    0.18140E-04    0.11730E-04    0.70296E-05    0.38195E-05    0.18263E-05    0.73819E-06    0.23918E-06    0.57974E-07    0.96334E-08    0.98611E-09    0.54845E-10    0.14425E-11    0.15644E-13    0.63252E-16    0.94794E-19    0.58644E-22    0.16718E-25    0.22790E-29    0.14958E-33    0.46818E-38
     0.90000E+02    0.22455E-05    0.30954E-05    0.42648E-05    0.58718E-05    0.80762E-05    0.11093E-04    0.15208E-04    0.20796E-04    0.28334E-04    0.38415E-04    0.51727E-04    0.68998E-04    0.90849E-04    0.11750E-03    0.14831E-03    0.18108E-03    0.21143E-03    0.23283E-03    0.23829E-03    0.22435E-03    0.19523E-03    0.16165E-03    0.13251E-03    0.10912E-03    0.89372E-04    0.72178E-04    0.57198E-04    0.44252E-04    0.33228E-04    0.24045E-04    0.16621E-04    0.10849E-04    0.65851E-05    0.36407E-05    0.17823E-05    0.74361E-06    0.25134E-06    0.64417E-07    0.11510E-07    0.12928E-08    0.80750E-10    0.24451E-11    0.31230E-13    0.15060E-15    0.26703E-18    0.19092E-21    0.62039E-25    0.96133E-29    0.71681E-33    0.25459E-37
     0.95000E+02    0.20199E-05    0.27845E-05    0.38364E-05    0.52820E-05    0.72650E-05    0.99789E-05    0.13681E-04    0.18707E-04    0.25489E-04    0.34556E-04    0.46531E-04    0.62068E-04    0.81724E-04    0.10570E-03    0.13342E-03    0.16289E-03    0.19019E-03    0.20945E-03    0.21437E-03    0.20185E-03    0.17567E-03    0.14550E-03    0.11933E-03    0.98326E-04    0.80608E-04    0.65180E-04    0.51741E-04    0.40125E-04    0.30227E-04    0.21972E-04    0.15281E-04    0.10058E-04    0.61758E-05    0.34682E-05    0.17341E-05    0.74447E-06    0.26141E-06    0.70465E-07    0.13447E-07    0.16434E-08    0.11412E-09    0.39326E-11    0.58451E-13    0.33275E-15    0.69364E-18    0.57071E-21    0.21005E-24    0.36718E-28    0.30855E-32    0.12329E-36
     0.10000E+03    0.18268E-05    0.25183E-05    0.34697E-05    0.47770E-05    0.65705E-05    0.90249E-05    0.12373E-04    0.16919E-04    0.23052E-04    0.31253E-04    0.42083E-04    0.56134E-04    0.73911E-04    0.95597E-04    0.12066E-03    0.14732E-03    0.17201E-03    0.18943E-03    0.19388E-03    0.18257E-03    0.15892E-03    0.13166E-03    0.10802E-03    0.89063E-04    0.73073E-04    0.59154E-04    0.47030E-04    0.36549E-04    0.27614E-04    0.20153E-04    0.14094E-04    0.93475E-05    0.57991E-05    0.33029E-05    0.16835E-05    0.74162E-06    0.26957E-06    0.76071E-07    0.15413E-07    0.20345E-08    0.15569E-09    0.60447E-11    0.10347E-12    0.68946E-15    0.16833E-17    0.15921E-20    0.66197E-24    0.13012E-27    0.12282E-31    0.55027E-36
