            time           mm00           mm10           mm01           mm20           mm02           mm11           mm30           mm03           mm12           mm21
     0.00000E+00    0.99918E+00    0.10169E+01    0.10180E+01    0.15668E+01    0.20911E+01    0.10360E+01    0.32486E+01    0.65037E+01    0.21283E+01    0.15962E+01
     0.50000E+01    0.28565E+00    0.10169E+01    0.10180E+01    0.69957E+01    0.75463E+01    0.62120E+01    0.75434E+02    0.88171E+02    0.65478E+02    0.62121E+02
     0.10000E+02    0.16664E+00    0.10169E+01    0.10180E+01    0.12439E+02    0.13004E+02    0.11388E+02    0.23998E+03    0.26248E+03    0.21209E+03    0.20581E+03
     0.15000E+02    0.11763E+00    0.10169E+01    0.10180E+01    0.17884E+02    0.18462E+02    0.16564E+02    0.49690E+03    0.52943E+03    0.44196E+03    0.43269E+03
     0.20000E+02    0.90902E-01    0.10169E+01    0.10180E+01    0.23331E+02    0.23920E+02    0.21740E+02    0.84618E+03    0.88902E+03    0.75509E+03    0.74274E+03
     0.25000E+02    0.74070E-01    0.10169E+01    0.10180E+01    0.28778E+02    0.29378E+02    0.26916E+02    0.12878E+04    0.13412E+04    0.11515E+04    0.11360E+04
     0.30000E+02    0.62497E-01    0.10169E+01    0.10180E+01    0.34225E+02    0.34836E+02    0.32092E+02    0.18218E+04    0.18861E+04    0.16312E+04    0.16124E+04
     0.35000E+02    0.54052E-01    0.10169E+01    0.10180E+01    0.39672E+02    0.40295E+02    0.37268E+02    0.24482E+04    0.25236E+04    0.21941E+04    0.21720E+04
     0.40000E+02    0.47618E-01    0.10169E+01    0.10180E+01    0.45120E+02    0.45753E+02    0.42444E+02    0.31670E+04    0.32538E+04    0.28403E+04    0.28148E+04
     0.45000E+02    0.42552E-01    0.10169E+01    0.10180E+01    0.50567E+02    0.51212E+02    0.47620E+02    0.39781E+04    0.40766E+04    0.35698E+04    0.35408E+04
     0.50000E+02    0.38461E-01    0.10169E+01    0.10180E+01    0.56015E+02    0.56670E+02    0.52796E+02    0.48815E+04    0.49920E+04    0.43825E+04    0.43499E+04
     0.55000E+02    0.35087E-01    0.10169E+01    0.10180E+01    0.61462E+02    0.62129E+02    0.57972E+02    0.58774E+04    0.60001E+04    0.52785E+04    0.52422E+04
     0.60000E+02    0.32258E-01    0.10169E+01    0.10180E+01    0.66910E+02    0.67588E+02    0.63148E+02    0.69655E+04    0.71008E+04    0.62578E+04    0.62178E+04
     0.65000E+02    0.29850E-01    0.10169E+01    0.10180E+01    0.72357E+02    0.73046E+02    0.68324E+02    0.81461E+04    0.82941E+04    0.73203E+04    0.72765E+04
     0.70000E+02    0.27777E-01    0.10169E+01    0.10180E+01    0.77805E+02    0.78505E+02    0.73500E+02    0.94190E+04    0.95801E+04    0.84661E+04    0.84183E+04
     0.75000E+02    0.25974E-01    0.10169E+01    0.10180E+01    0.83253E+02    0.83963E+02    0.78676E+02    0.10784E+05    0.10959E+05    0.96951E+04    0.96434E+04
     0.80000E+02    0.24390E-01    0.10169E+01    0.10180E+01    0.88700E+02    0.89422E+02    0.83852E+02    0.12242E+05    0.12430E+05    0.11007E+05    0.10952E+05
     0.85000E+02    0.22988E-01    0.10169E+01    0.10180E+01    0.94148E+02    0.94880E+02    0.89027E+02    0.13792E+05    0.13994E+05    0.12403E+05    0.12343E+05
     0.90000E+02    0.21739E-01    0.10169E+01    0.10180E+01    0.99596E+02    0.10034E+03    0.94203E+02    0.15434E+05    0.15650E+05    0.13882E+05    0.13818E+05
     0.95000E+02    0.20618E-01    0.10169E+01    0.10180E+01    0.10504E+03    0.10580E+03    0.99379E+02    0.17169E+05    0.17400E+05    0.15444E+05    0.15376E+05
     0.10000E+03    0.19608E-01    0.10169E+01    0.10180E+01    0.11049E+03    0.11126E+03    0.10456E+03    0.18996E+05    0.19242E+05    0.17089E+05    0.17016E+05
