            x(i)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)    y(j)/F(i,j)
     0.00000E+00    0.12481E-02    0.18675E-02    0.27942E-02    0.41808E-02    0.62554E-02    0.93596E-02    0.14004E-01    0.20953E-01    0.31351E-01    0.46909E-01    0.70187E-01    0.10502E+00    0.15713E+00    0.23510E+00    0.35177E+00    0.52633E+00    0.78751E+00    0.11783E+01    0.17630E+01    0.26379E+01    0.39469E+01    0.59055E+01    0.88360E+01    0.13221E+02    0.19781E+02    0.29598E+02    0.44285E+02    0.66261E+02    0.99142E+02    0.14834E+03    0.22195E+03    0.33209E+03    0.49688E+03    0.74346E+03    0.11124E+04    0.16644E+04    0.24903E+04    0.37261E+04    0.55751E+04    0.83417E+04
     0.12481E-02    0.19126E-05    0.19115E-05    0.19097E-05    0.19070E-05    0.19031E-05    0.18972E-05    0.18884E-05    0.18753E-05    0.18559E-05    0.18273E-05    0.17853E-05    0.17243E-05    0.16368E-05    0.15144E-05    0.13482E-05    0.11334E-05    0.87486E-06    0.59487E-06    0.33528E-06    0.14337E-06    0.40982E-07    0.65600E-08    0.46246E-09    0.10368E-10    0.45066E-13    0.16222E-16    0.12443E-21    0.28055E-29    0.10158E-40    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.18675E-02    0.28582E-05    0.28564E-05    0.28538E-05    0.28498E-05    0.28439E-05    0.28351E-05    0.28220E-05    0.28024E-05    0.27734E-05    0.27307E-05    0.26679E-05    0.25767E-05    0.24460E-05    0.22630E-05    0.20147E-05    0.16937E-05    0.13074E-05    0.88895E-06    0.50102E-06    0.21425E-06    0.61242E-07    0.98031E-08    0.69109E-09    0.15494E-10    0.67347E-13    0.24245E-16    0.18688E-21    0.85728E-29    0.62475E-37    0.15825E-48    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.27942E-02    0.42685E-05    0.42659E-05    0.42619E-05    0.42560E-05    0.42472E-05    0.42340E-05    0.42144E-05    0.41852E-05    0.41419E-05    0.40780E-05    0.39843E-05    0.38481E-05    0.36530E-05    0.33797E-05    0.30089E-05    0.25295E-05    0.19525E-05    0.13276E-05    0.74824E-06    0.31997E-06    0.91461E-07    0.14640E-07    0.10321E-08    0.23140E-10    0.10060E-12    0.36262E-16    0.29071E-21    0.67610E-28    0.14029E-35    0.62510E-44    0.10009E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.41808E-02    0.63688E-05    0.63648E-05    0.63589E-05    0.63501E-05    0.63369E-05    0.63173E-05    0.62880E-05    0.62445E-05    0.61799E-05    0.60846E-05    0.59447E-05    0.57414E-05    0.54504E-05    0.50426E-05    0.44893E-05    0.37741E-05    0.29132E-05    0.19808E-05    0.11164E-05    0.47741E-06    0.13647E-06    0.21845E-07    0.15401E-08    0.34532E-10    0.15018E-12    0.54328E-16    0.48226E-21    0.33493E-27    0.24171E-34    0.49496E-42    0.14148E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.62554E-02    0.94892E-05    0.94833E-05    0.94745E-05    0.94614E-05    0.94418E-05    0.94125E-05    0.93689E-05    0.93041E-05    0.92079E-05    0.90658E-05    0.88574E-05    0.85545E-05    0.81209E-05    0.75133E-05    0.66890E-05    0.56233E-05    0.43405E-05    0.29514E-05    0.16635E-05    0.71136E-06    0.20335E-06    0.32552E-07    0.22951E-08    0.51471E-10    0.22405E-12    0.81698E-16    0.88151E-21    0.13356E-26    0.28012E-33    0.17215E-40    0.45355E-48    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.93596E-02    0.14109E-04    0.14100E-04    0.14087E-04    0.14068E-04    0.14039E-04    0.13995E-04    0.13930E-04    0.13834E-04    0.13691E-04    0.13480E-04    0.13170E-04    0.12719E-04    0.12075E-04    0.11171E-04    0.99457E-05    0.83612E-05    0.64540E-05    0.43885E-05    0.24735E-05    0.10578E-05    0.30239E-06    0.48411E-07    0.34138E-08    0.76597E-10    0.33408E-12    0.12398E-15    0.18582E-20    0.51855E-26    0.26388E-32    0.41569E-39    0.27542E-46    0.10001E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.14004E-01    0.20913E-04    0.20900E-04    0.20880E-04    0.20852E-04    0.20808E-04    0.20744E-04    0.20648E-04    0.20505E-04    0.20293E-04    0.19980E-04    0.19521E-04    0.18853E-04    0.17898E-04    0.16559E-04    0.14742E-04    0.12394E-04    0.95669E-05    0.65055E-05    0.36669E-05    0.15682E-05    0.44836E-06    0.71793E-07    0.50647E-08    0.11376E-09    0.49835E-12    0.19211E-15    0.45923E-20    0.21336E-25    0.23498E-31    0.86073E-38    0.13501E-44    0.10110E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.20953E-01    0.30853E-04    0.30834E-04    0.30805E-04    0.30763E-04    0.30699E-04    0.30604E-04    0.30462E-04    0.30251E-04    0.29939E-04    0.29477E-04    0.28800E-04    0.27815E-04    0.26406E-04    0.24431E-04    0.21751E-04    0.18287E-04    0.14117E-04    0.96000E-05    0.54117E-05    0.23148E-05    0.66198E-06    0.10604E-06    0.74871E-08    0.16856E-09    0.74566E-12    0.31103E-15    0.12992E-19    0.99153E-25    0.21774E-30    0.17337E-36    0.61291E-43    0.21079E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.31351E-01    0.45202E-04    0.45174E-04    0.45132E-04    0.45069E-04    0.44976E-04    0.44837E-04    0.44629E-04    0.44321E-04    0.43863E-04    0.43187E-04    0.42194E-04    0.40753E-04    0.38689E-04    0.35796E-04    0.31872E-04    0.26798E-04    0.20689E-04    0.14072E-04    0.79347E-05    0.33952E-05    0.97146E-06    0.15576E-06    0.11019E-07    0.24935E-09    0.11267E-11    0.54664E-15    0.40518E-19    0.53681E-24    0.22536E-29    0.37133E-35    0.28555E-41    0.11013E-47    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
