            time          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag          Fdiag
     0.00000E+00    0.49736E-02    0.74278E-02    0.11083E-01    0.16513E-01    0.24552E-01    0.36393E-01    0.53692E-01    0.78665E-01    0.11406E+00    0.16281E+00    0.22706E+00    0.30581E+00    0.39097E+00    0.46249E+00    0.48723E+00    0.43199E+00    0.29652E+00    0.13941E+00    0.37595E-01    0.45157E-02    0.17010E-03    0.12511E-05    0.92986E-09    0.24720E-13    0.42678E-20    0.33834E-30    0.23334E-45    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.50000E+01    0.40633E-03    0.60683E-03    0.90542E-03    0.13491E-02    0.20059E-02    0.29732E-02    0.43865E-02    0.64268E-02    0.93184E-02    0.13302E-01    0.18554E-01    0.25002E-01    0.32018E-01    0.38082E-01    0.40825E-01    0.38197E-01    0.30652E-01    0.21575E-01    0.13921E-01    0.81508E-02    0.40799E-02    0.16303E-02    0.47733E-03    0.91590E-04    0.10006E-04    0.52612E-06    0.11061E-07    0.78053E-10    0.16682E-12    0.11306E-15    0.27845E-19    0.26831E-23    0.10282E-27    0.15731E-32    0.96654E-38    0.23860E-43    0.33780E-49    0.10000E-49    0.10000E-49    0.10000E-49
     0.10000E+02    0.13828E-03    0.20652E-03    0.30813E-03    0.45911E-03    0.68264E-03    0.10118E-02    0.14928E-02    0.21872E-02    0.31712E-02    0.45271E-02    0.63145E-02    0.85096E-02    0.10901E-01    0.12977E-01    0.13952E-01    0.13167E-01    0.10818E-01    0.80236E-02    0.56589E-02    0.37752E-02    0.22853E-02    0.12029E-02    0.52173E-03    0.17339E-03    0.40063E-04    0.56750E-05    0.42182E-06    0.13751E-07    0.16346E-09    0.61293E-12    0.70623E-15    0.28035E-18    0.42787E-22    0.25973E-26    0.63317E-31    0.62409E-36    0.25023E-41    0.41132E-47    0.10003E-49    0.10000E-49
     0.15000E+02    0.68901E-04    0.10290E-03    0.15353E-03    0.22876E-03    0.34013E-03    0.50416E-03    0.74381E-03    0.10898E-02    0.15801E-02    0.22557E-02    0.31463E-02    0.42402E-02    0.54324E-02    0.64694E-02    0.69635E-02    0.65954E-02    0.54707E-02    0.41423E-02    0.30242E-02    0.21227E-02    0.13846E-02    0.81322E-03    0.41348E-03    0.17248E-03    0.54850E-04    0.12045E-04    0.16065E-05    0.11108E-06    0.33223E-08    0.35782E-10    0.12091E-12    0.12645E-15    0.46025E-19    0.64295E-23    0.35378E-27    0.77153E-32    0.67009E-37    0.23282E-42    0.33488E-48    0.10000E-49
     0.20000E+02    0.41145E-04    0.61447E-04    0.91682E-04    0.13660E-03    0.20311E-03    0.30106E-03    0.44417E-03    0.65077E-03    0.94357E-03    0.13470E-02    0.18789E-02    0.25321E-02    0.32443E-02    0.38644E-02    0.41622E-02    0.39498E-02    0.32932E-02    0.25213E-02    0.18749E-02    0.13520E-02    0.91789E-03    0.57184E-03    0.31693E-03    0.14977E-03    0.56895E-04    0.16024E-04    0.30022E-05    0.32567E-06    0.17300E-07    0.37386E-09    0.27580E-11    0.62576E-14    0.45467E-17    0.12038E-20    0.12438E-24    0.50761E-29    0.81941E-34    0.52431E-39    0.13326E-44    0.11343E-49
     0.25000E+02    0.27320E-04    0.40800E-04    0.60876E-04    0.90703E-04    0.13486E-03    0.19990E-03    0.29493E-03    0.43210E-03    0.62652E-03    0.89439E-03    0.12476E-02    0.16813E-02    0.21543E-02    0.25664E-02    0.27653E-02    0.26274E-02    0.21977E-02    0.16942E-02    0.12743E-02    0.93450E-03    0.65042E-03    0.42042E-03    0.24597E-03    0.12577E-03    0.53517E-04    0.17700E-04    0.41440E-05    0.60742E-06    0.47813E-07    0.16908E-08    0.22306E-10    0.94361E-13    0.12275E-15    0.54203E-19    0.90613E-23    0.59298E-27    0.15245E-31    0.15488E-36    0.62500E-42    0.10047E-47
     0.30000E+02    0.19450E-04    0.29047E-04    0.43340E-04    0.64575E-04    0.96015E-04    0.14232E-03    0.20997E-03    0.30763E-03    0.44605E-03    0.63676E-03    0.88819E-03    0.11970E-02    0.15338E-02    0.18274E-02    0.19695E-02    0.18729E-02    0.15700E-02    0.12161E-02    0.92182E-03    0.68380E-03    0.48410E-03    0.32091E-03    0.19486E-03    0.10520E-03    0.48430E-04    0.17922E-04    0.49124E-05    0.89349E-06    0.93689E-07    0.47824E-08    0.98655E-10    0.69125E-12    0.14904E-14    0.10360E-17    0.26357E-21    0.26137E-25    0.10191E-29    0.15650E-34    0.94882E-40    0.22585E-45
     0.35000E+02    0.14546E-04    0.21724E-04    0.32413E-04    0.48295E-04    0.71808E-04    0.10644E-03    0.15703E-03    0.23007E-03    0.33359E-03    0.47622E-03    0.66426E-03    0.89525E-03    0.11471E-02    0.13668E-02    0.14734E-02    0.14020E-02    0.11772E-02    0.91499E-03    0.69753E-03    0.52177E-03    0.37399E-03    0.25251E-03    0.15754E-03    0.88499E-04    0.43166E-04    0.17358E-04    0.53504E-05    0.11449E-05    0.14940E-06    0.10135E-07    0.29793E-09    0.31588E-11    0.10541E-13    0.10945E-16    0.39700E-20    0.55274E-24    0.30232E-28    0.65278E-33    0.55704E-38    0.18615E-43
     0.40000E+02    0.11288E-04    0.16858E-04    0.25154E-04    0.37478E-04    0.55725E-04    0.82598E-04    0.12186E-03    0.17854E-03    0.25887E-03    0.36956E-03    0.51549E-03    0.69474E-03    0.89022E-03    0.10607E-02    0.11437E-02    0.10887E-02    0.91529E-03    0.71329E-03    0.54610E-03    0.41109E-03    0.29744E-03    0.20365E-03    0.12970E-03    0.75109E-04    0.38293E-04    0.16414E-04    0.55410E-05    0.13460E-05    0.20870E-06    0.17770E-07    0.69642E-09    0.10422E-10    0.50807E-13    0.76052E-16    0.38140E-19    0.71977E-23    0.53209E-27    0.15517E-31    0.17896E-36    0.81269E-42
     0.45000E+02    0.90141E-05    0.13462E-04    0.20086E-04    0.29927E-04    0.44498E-04    0.65957E-04    0.97311E-04    0.14257E-03    0.20672E-03    0.29511E-03    0.41163E-03    0.55478E-03    0.71088E-03    0.84708E-03    0.91342E-03    0.86984E-03    0.73199E-03    0.57160E-03    0.43910E-03    0.33218E-03    0.24213E-03    0.16761E-03    0.10850E-03    0.64352E-04    0.33976E-04    0.15321E-04    0.55608E-05    0.14955E-05    0.26663E-06    0.27338E-07    0.13596E-08    0.27221E-10    0.18457E-12    0.38484E-15    0.25913E-18    0.63890E-22    0.61327E-26    0.23180E-30    0.34576E-35    0.20270E-40
