            time           mm00           mm10           mm01           mm20           mm02           mm11           mm30           mm03           mm12           mm21
     0.00000E+00    0.99943E+00    0.10276E+01    0.10286E+01    0.16082E+01    0.21464E+01    0.10576E+01    0.34068E+01    0.68204E+01    0.22069E+01    0.16552E+01
     0.50000E+01    0.28567E+00    0.10276E+01    0.10286E+01    0.73265E+01    0.78972E+01    0.63426E+01    0.84541E+02    0.98592E+02    0.69396E+02    0.65877E+02
     0.10000E+02    0.16665E+00    0.10276E+01    0.10286E+01    0.13067E+02    0.13653E+02    0.11628E+02    0.27095E+03    0.29594E+03    0.22533E+03    0.21875E+03
     0.15000E+02    0.11764E+00    0.10276E+01    0.10286E+01    0.18811E+02    0.19411E+02    0.16913E+02    0.56262E+03    0.59886E+03    0.47003E+03    0.46031E+03
     0.20000E+02    0.90904E-01    0.10276E+01    0.10286E+01    0.24557E+02    0.25169E+02    0.22198E+02    0.95954E+03    0.10074E+04    0.80350E+03    0.79053E+03
     0.25000E+02    0.74072E-01    0.10276E+01    0.10286E+01    0.30303E+02    0.30927E+02    0.27483E+02    0.14617E+04    0.15214E+04    0.12257E+04    0.12094E+04
     0.30000E+02    0.62499E-01    0.10276E+01    0.10286E+01    0.36049E+02    0.36685E+02    0.32768E+02    0.20692E+04    0.21410E+04    0.17367E+04    0.17170E+04
     0.35000E+02    0.54052E-01    0.10276E+01    0.10286E+01    0.41796E+02    0.42444E+02    0.38053E+02    0.27819E+04    0.28662E+04    0.23365E+04    0.23133E+04
     0.40000E+02    0.47617E-01    0.10276E+01    0.10286E+01    0.47543E+02    0.48202E+02    0.43338E+02    0.35998E+04    0.36970E+04    0.30250E+04    0.29982E+04
     0.45000E+02    0.42552E-01    0.10276E+01    0.10286E+01    0.53290E+02    0.53961E+02    0.48623E+02    0.45230E+04    0.46334E+04    0.38023E+04    0.37718E+04
     0.50000E+02    0.38460E-01    0.10276E+01    0.10286E+01    0.59037E+02    0.59719E+02    0.53908E+02    0.55515E+04    0.56753E+04    0.46684E+04    0.46341E+04
     0.55000E+02    0.35086E-01    0.10276E+01    0.10286E+01    0.64784E+02    0.65478E+02    0.59193E+02    0.66852E+04    0.68227E+04    0.56232E+04    0.55851E+04
     0.60000E+02    0.32256E-01    0.10276E+01    0.10286E+01    0.70531E+02    0.71237E+02    0.64478E+02    0.79241E+04    0.80758E+04    0.66668E+04    0.66247E+04
     0.65000E+02    0.29849E-01    0.10276E+01    0.10286E+01    0.76279E+02    0.76996E+02    0.69763E+02    0.92683E+04    0.94344E+04    0.77991E+04    0.77531E+04
     0.70000E+02    0.27776E-01    0.10276E+01    0.10286E+01    0.82026E+02    0.82754E+02    0.75047E+02    0.10718E+05    0.10899E+05    0.90203E+04    0.89701E+04
     0.75000E+02    0.25972E-01    0.10276E+01    0.10286E+01    0.87773E+02    0.88513E+02    0.80332E+02    0.12273E+05    0.12468E+05    0.10330E+05    0.10276E+05
     0.80000E+02    0.24389E-01    0.10276E+01    0.10286E+01    0.93520E+02    0.94272E+02    0.85617E+02    0.13933E+05    0.14144E+05    0.11729E+05    0.11670E+05
     0.85000E+02    0.22987E-01    0.10276E+01    0.10286E+01    0.99267E+02    0.10003E+03    0.90902E+02    0.15698E+05    0.15925E+05    0.13216E+05    0.13153E+05
     0.90000E+02    0.21738E-01    0.10276E+01    0.10286E+01    0.10501E+03    0.10579E+03    0.96187E+02    0.17568E+05    0.17811E+05    0.14792E+05    0.14725E+05
     0.95000E+02    0.20617E-01    0.10276E+01    0.10286E+01    0.11076E+03    0.11155E+03    0.10147E+03    0.19544E+05    0.19803E+05    0.16457E+05    0.16385E+05
     0.10000E+03    0.19606E-01    0.10276E+01    0.10286E+01    0.11651E+03    0.11731E+03    0.10676E+03    0.21625E+05    0.21901E+05    0.18211E+05    0.18134E+05
